x,y,floor,AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8
4,0,1,-44.7,-48.6,-58.5,-56.8,-76.6,-66.5,-74.8,-72.7
4,0,1,-43.7,-48.1,-55.0,-60.3,-78.2,-68.1,-72.4,-70.8
4,0,1,-44.6,-47.5,-58.7,-56.4,-72.2,-66.7,-69.8,-70.3
4,0,1,-43.3,-50.4,,-55.1,-73.3,-67.3,-74.0,-74.0
4,0,1,-42.2,-48.1,-59.7,-56.6,-73.8,-64.7,-69.5,
4,0,1,-44.8,-45.2,-58.5,-56.8,-72.3,-65.0,-67.3,-66.6
4,0,1,-45.4,-47.4,-55.9,-59.3,-78.0,-70.4,-72.5,-76.7
6,0,1,-50.7,-44.1,-57.4,-52.0,-73.2,-69.6,-71.7,-68.6
6,0,1,-47.3,-39.7,,-58.0,-71.4,-66.7,-72.5,-72.0
6,0,1,-47.0,-42.6,-59.1,-57.5,-74.5,-70.5,-71.3,-67.9
6,0,1,-51.9,-44.3,-60.4,-56.0,-74.6,-67.5,-71.2,-68.7
6,0,1,-45.5,-43.9,-55.2,-58.2,-76.7,-68.0,-69.0,-69.9
6,0,1,-45.5,-42.1,-58.6,-57.0,-74.1,-71.5,-73.7,-69.3
6,0,1,-46.4,-43.6,-57.2,-61.6,-75.1,-69.6,-68.9,-69.0
6,0,1,-47.9,-40.1,-58.8,-60.9,-77.1,-72.8,-74.2,-72.9
6,0,1,-47.3,-41.9,-57.2,-55.2,-72.0,-69.4,-69.0,-68.4
6,0,1,-43.5,-40.4,-48.6,-58.9,-70.8,-67.6,-70.1,-69.7
6,0,1,-49.2,-43.4,-59.0,-60.1,-75.7,-63.3,-73.1,-68.5
6,0,1,-50.5,-42.0,-59.1,-56.9,-74.3,-71.6,-76.1,-70.5
8,0,1,-47.3,-31.4,-53.8,-54.6,-68.7,-70.1,-69.7,-68.8
8,0,1,-52.2,-31.3,-57.3,-57.6,-70.3,-72.9,-75.4,-63.9
8,0,1,-51.9,-33.6,-56.5,-56.8,-76.1,-70.8,-69.7,-63.4
8,0,1,-51.4,-36.1,-54.5,-58.9,-71.0,-70.2,-74.7,-68.9
8,0,1,-53.9,-35.9,-56.0,-57.9,-75.3,-67.0,-68.4,-70.0
8,0,1,-52.3,-39.1,-52.5,-55.6,-73.6,-72.2,-69.3,-68.2
8,0,1,-47.8,-34.3,-53.6,-54.7,-73.1,-69.1,-70.7,-61.7
8,0,1,,-33.8,-52.6,-58.8,-75.2,-67.5,-71.0,-62.3
8,0,1,-53.1,-35.3,-53.5,-57.0,-73.9,-67.1,-68.1,-65.6
8,0,1,-52.4,-31.6,-57.3,-59.2,-75.8,-73.4,-72.1,-68.0
8,0,1,-51.6,-36.4,-54.8,-55.8,-78.3,-70.8,-69.9,-68.8
8,0,1,-52.1,-34.5,-51.0,-57.8,-69.6,-70.7,-68.3,-66.3
10,0,1,-55.4,-38.0,,-56.6,-77.2,-73.1,-68.8,-67.6
10,0,1,-50.6,-31.4,-49.7,-55.0,-74.4,-74.5,-71.1,-64.5
10,0,1,-56.3,,-55.1,-55.9,-69.9,-69.4,-72.4,-61.6
10,0,1,-52.6,-37.4,-53.9,-57.9,-70.7,-69.3,-70.6,-61.8
10,0,1,,-31.7,-52.8,-56.7,,-71.7,-70.8,-61.3
10,0,1,-54.1,-38.1,-53.0,-60.2,-72.0,-71.5,-73.4,-63.6
10,0,1,-56.2,-35.2,-52.8,-58.1,-71.0,-70.6,-74.2,-56.9
10,0,1,-54.8,-36.1,-55.7,-60.7,-74.2,-70.8,-71.8,-62.8
10,0,1,-54.9,-34.6,-53.0,-58.5,-71.6,-73.9,-71.5,-62.3
10,0,1,-54.0,-39.9,-55.1,-58.9,-73.5,-72.6,-73.5,-60.5
10,0,1,-50.7,-40.4,-53.8,-58.0,-72.8,-69.9,-71.1,-63.1
10,0,1,-55.0,,-53.5,-59.2,-75.1,-68.7,-70.4,-62.9
12,0,1,-56.8,-45.1,-53.2,-57.9,-73.5,-71.9,-71.6,-59.1
12,0,1,-54.1,-43.4,,-56.6,-70.9,-70.7,-69.3,-62.0
12,0,1,-55.6,-43.4,-54.1,-59.8,-71.6,-72.4,-74.4,-61.3
12,0,1,-55.1,-44.9,-53.0,-57.4,-70.6,-70.4,-69.6,-59.6
12,0,1,-55.4,-45.0,-54.5,-60.7,-71.5,-75.2,-76.1,-56.9
12,0,1,-59.1,-46.6,-49.4,-57.5,-69.4,-71.7,-67.4,-57.0
12,0,1,-54.1,-45.9,-55.2,-59.8,-70.7,-75.6,-70.9,-57.9
12,0,1,-57.9,-40.6,-51.5,-56.2,-70.7,-70.9,-72.9,-56.0
12,0,1,-55.1,-43.1,-52.1,-61.7,-73.3,-70.1,-68.0,-59.2
12,0,1,-54.2,-44.2,-50.3,-61.5,-73.0,-75.1,-72.7,-56.9
12,0,1,-53.6,-44.3,-47.8,-56.5,-69.6,-76.6,-71.2,-59.7
12,0,1,-54.1,-46.8,-53.6,-57.6,-73.6,-72.0,-73.2,-58.9
14,0,1,-56.6,-50.1,-51.4,-59.0,-67.3,-74.7,-71.9,-47.3
14,0,1,-54.2,-45.7,-49.5,-61.2,-76.2,-71.9,-72.2,-50.0
14,0,1,-57.0,,-45.8,-61.2,-70.1,-72.5,-69.7,
14,0,1,-56.2,-47.5,-50.0,-62.1,-71.5,-73.2,-72.9,-50.2
14,0,1,-55.0,-48.0,-52.4,-58.1,-71.8,-74.7,-74.5,-50.9
14,0,1,-59.6,-46.7,-49.6,-59.0,-71.6,-77.0,-72.2,-49.9
14,0,1,-55.9,-44.9,-52.3,-62.4,-73.1,-73.4,-66.9,-49.1
14,0,1,-59.3,-48.7,-52.0,-56.4,-69.8,-72.4,-70.2,-51.8
14,0,1,-62.6,-48.2,-49.7,-60.3,-73.2,-74.4,-72.9,-47.7
14,0,1,-58.0,-47.8,-47.8,-59.4,-68.5,-72.5,-74.2,-55.4
14,0,1,-57.5,-48.8,-51.1,-57.8,-73.6,-78.7,-74.3,-51.7
14,0,1,-57.6,-47.2,-51.8,-57.6,-78.3,-71.5,-73.0,-50.4
16,0,1,-57.2,-53.0,-47.2,-61.9,-75.5,-76.2,-69.8,-51.8
16,0,1,-58.0,-50.5,-45.5,-59.9,-73.9,-76.0,-69.1,-50.5
16,0,1,-58.7,-52.3,-51.4,-59.3,-70.4,-78.1,-77.1,-48.5
16,0,1,-58.3,-50.5,-51.2,-56.0,-71.0,-71.9,-73.5,-47.9
16,0,1,-57.9,-52.0,-51.6,-62.9,-70.3,-74.9,-74.8,-53.5
16,0,1,-62.2,-51.5,-52.2,-59.9,-70.3,-74.7,-71.8,-47.6
16,0,1,-59.5,-55.9,-50.2,-58.3,-71.2,-73.4,-74.9,-48.4
16,0,1,-58.0,-49.9,-48.1,-62.9,-71.2,-74.6,-71.2,-50.8
16,0,1,-63.6,-51.4,-52.4,-61.3,-71.5,-78.7,-74.0,-51.1
16,0,1,-62.8,-51.6,-48.7,-61.3,-70.4,-77.0,-71.8,-48.0
16,0,1,-57.8,-50.0,-50.4,-62.0,-67.5,-69.3,-74.8,-46.9
16,0,1,-60.3,-47.7,-45.4,-60.7,-71.2,-75.5,-71.9,-54.2
18,0,1,-61.5,-54.7,-47.6,,,-76.4,-71.6,-55.8
18,0,1,-56.4,-56.1,-47.3,-60.1,-72.9,-76.4,-74.6,-56.8
18,0,1,-62.4,-56.7,-48.2,-58.4,-71.5,-74.3,-74.3,-56.6
18,0,1,-60.5,-52.9,-44.2,-61.7,-71.4,-74.3,-75.1,-57.9
18,0,1,-65.3,-55.2,-50.5,-63.1,-74.1,-76.7,-73.7,
18,0,1,-65.1,-55.6,-46.5,-62.9,-72.4,-73.2,-75.9,-59.7
18,0,1,-59.2,-54.7,-41.7,-64.8,-65.8,-78.3,-70.7,-58.3
18,0,1,-61.7,-47.6,-44.3,-62.8,-70.0,-75.2,-72.1,-55.2
18,0,1,-60.3,-55.4,-47.0,-63.5,-70.5,-75.0,-73.6,-56.9
18,0,1,,-50.7,-48.5,-61.9,-73.1,-74.6,-73.9,-57.5
18,0,1,-61.5,-55.0,-48.3,-64.2,-73.7,-75.6,-73.5,-54.8
18,0,1,-63.6,-52.9,-45.7,-60.2,-69.8,-74.5,-72.7,-55.7
0,4,1,-42.6,-56.7,-58.0,-51.4,-79.3,-56.0,-69.4,-73.7
0,4,1,-42.7,,-63.5,-50.2,-77.5,-60.3,-68.0,-77.7
0,4,1,-44.9,-56.8,-59.1,-49.8,,-58.3,-72.6,-76.7
0,4,1,-43.5,-52.4,-60.5,-53.3,,-63.0,-70.8,-73.9
0,4,1,-40.1,-53.4,-59.4,-48.0,-77.1,-54.6,-74.0,-76.1
0,4,1,-41.5,-51.9,-55.3,-50.3,-77.7,-60.2,-68.2,-75.4
0,4,1,-44.6,-53.8,-64.5,-51.6,-74.4,-63.1,-72.4,-74.7
0,4,1,-46.5,-58.4,-60.5,-53.7,-79.7,-61.2,-71.8,-77.0
0,4,1,,-49.7,-59.2,-52.5,-75.9,-55.5,-74.9,-75.5
0,4,1,-44.6,-53.1,-55.3,-48.7,-74.3,-59.6,-71.1,-73.0
0,4,1,-45.5,-55.6,-63.4,-49.4,-76.8,-60.1,-72.9,-76.2
0,4,1,-41.8,-51.4,-63.4,,-73.1,-62.9,-74.9,-72.0
2,4,1,-40.9,-52.1,-60.6,-54.2,,-58.4,,-66.9
2,4,1,-45.3,-55.8,-58.0,-50.8,-74.3,-60.1,-72.3,-71.3
2,4,1,-45.2,-56.2,-59.0,-52.5,-74.7,-58.4,-73.4,-71.3
2,4,1,-41.3,-50.8,-56.0,-54.9,-70.6,-56.2,-64.9,-71.8
2,4,1,-46.6,-54.2,-57.9,-50.9,-78.6,-55.5,-65.7,-67.8
2,4,1,-42.8,-52.4,-61.1,-48.4,-75.0,-59.0,-72.0,-72.8
2,4,1,-44.9,-55.2,-58.0,-54.9,-75.8,-61.5,-69.7,-72.7
2,4,1,-43.6,-51.1,,-52.3,-72.6,-56.9,-70.5,-70.8
2,4,1,-38.5,-55.7,-60.0,-50.7,-72.9,-57.6,-68.4,-72.1
2,4,1,-44.7,-53.1,-57.2,-52.2,-76.0,-56.8,-68.7,-73.1
2,4,1,-42.9,-50.5,-59.9,-48.3,-74.9,-56.4,-67.8,-71.0
2,4,1,-44.7,-54.8,-59.7,-53.8,-73.4,-62.1,-71.0,-74.1
4,4,1,-46.2,-50.4,-59.8,-50.0,-77.6,-62.5,-71.5,-72.0
4,4,1,-47.6,-51.3,-54.4,-51.9,,-61.9,-71.2,-71.5
4,4,1,-48.5,-48.9,,-51.5,-78.7,-58.6,-67.3,-69.8
4,4,1,-48.9,-49.3,-58.4,-49.9,-72.0,-64.0,-66.9,-71.5
4,4,1,-51.6,-51.6,-56.4,,-75.0,-62.4,-68.9,-72.7
4,4,1,-45.5,-49.2,-58.8,-49.4,-77.0,-62.0,-70.2,-72.4
4,4,1,-45.1,-52.8,-56.6,-50.9,-72.5,-58.3,-67.1,-69.7
4,4,1,-47.5,-52.6,-58.9,-51.5,,-60.7,-66.2,-76.5
4,4,1,-47.3,-51.7,-57.2,-51.3,-74.3,-58.7,-68.7,-75.1
4,4,1,-43.6,-47.1,-57.4,-52.1,-72.9,-61.5,-71.0,-63.3
4,4,1,-45.5,-51.8,-57.3,-47.5,-74.7,-64.5,-68.1,-69.9
4,4,1,-47.0,-46.9,-58.1,-49.9,-74.3,-62.3,-62.5,-74.7
6,4,1,-48.5,-47.7,-55.8,-55.6,-72.9,-62.4,-66.6,-70.1
6,4,1,-47.7,-47.3,-52.2,-52.2,-75.8,-63.8,-68.8,-69.8
6,4,1,-50.1,-42.3,-58.3,-53.3,-71.7,-64.3,-64.2,
6,4,1,-48.2,-46.8,-56.8,-53.3,-73.6,-66.0,-66.2,-67.6
6,4,1,-49.3,,-57.2,-52.1,-69.3,-64.4,-68.3,-68.9
6,4,1,-49.7,-47.5,-53.5,-49.4,-71.4,,-68.7,-71.4
6,4,1,-48.3,-44.6,-55.1,-51.8,-76.9,-60.8,-67.4,-68.6
6,4,1,-52.6,-48.8,-57.0,-53.8,-72.7,-66.5,-64.8,-70.2
6,4,1,-51.9,-47.9,-54.9,-52.8,-74.9,-62.1,-67.2,-69.9
6,4,1,-48.9,-46.2,-57.8,-54.2,-70.3,-63.3,-68.2,-67.0
6,4,1,-51.7,-46.9,-56.3,-53.0,-72.2,-65.2,-70.2,-68.6
6,4,1,-49.7,-47.5,-53.2,-47.6,-72.9,-65.9,-67.8,
8,4,1,-51.7,-45.1,-54.8,-53.9,-74.2,-67.3,-64.2,-65.5
8,4,1,-52.9,-43.5,-56.1,-53.1,-69.6,-69.5,-68.2,-66.3
8,4,1,-52.4,-42.6,-52.9,-54.3,-70.5,-67.5,-65.4,
8,4,1,-51.4,-40.8,-56.9,-52.8,-69.7,-62.8,-64.3,-67.2
8,4,1,-49.9,,-56.4,-57.1,-72.9,-67.6,-63.1,-67.3
8,4,1,-50.2,-45.1,-53.1,-53.6,-70.9,-68.1,-65.0,-67.6
8,4,1,-51.2,-46.7,-54.1,-52.6,-72.4,-67.9,-68.8,-65.8
8,4,1,-52.9,-41.9,-55.6,-57.3,-70.3,-69.0,-68.2,-65.2
8,4,1,-51.7,-43.5,-54.0,-55.2,-71.1,-67.0,-63.7,-64.3
8,4,1,-54.1,-45.8,-53.2,-53.4,-68.0,-63.8,-64.2,-66.6
8,4,1,,-45.5,-53.3,-52.1,-70.9,-67.7,-67.2,-65.1
8,4,1,-52.5,-42.3,-57.1,-54.0,-67.5,-67.5,-71.4,-66.8
10,4,1,-53.7,-41.8,-51.4,-55.7,-69.0,-78.1,-67.5,-66.1
10,4,1,-47.5,-41.0,-50.9,-56.9,-68.6,-66.8,-66.1,-64.9
10,4,1,-57.1,-44.6,-49.7,-56.6,-68.5,-68.6,-61.6,-64.6
10,4,1,-55.5,-48.3,-48.6,-54.5,-67.4,-73.1,-64.5,-65.4
10,4,1,-53.6,-42.5,-48.5,-55.7,-71.7,-74.2,-67.7,-65.3
10,4,1,-52.0,-40.9,-57.0,,-73.9,-72.4,-71.3,-66.7
10,4,1,-54.0,-37.3,-48.6,-53.1,-71.5,-68.9,,-63.6
10,4,1,-55.1,-49.3,-53.5,-53.0,-67.8,-71.9,-62.7,-62.7
10,4,1,-53.6,-43.8,-51.9,-57.7,-72.4,,-65.3,-65.1
10,4,1,-53.3,-42.6,-52.2,-58.4,-69.8,-68.8,-65.4,-62.9
10,4,1,-56.0,,-50.7,-53.3,-70.7,-67.4,-64.2,-63.1
10,4,1,-56.1,-41.8,-51.3,-53.2,-70.4,-70.3,-63.7,-65.1
12,4,1,-55.4,-48.5,-52.8,-55.6,-65.6,-73.3,-66.2,-64.6
12,4,1,-56.2,-47.8,-47.9,-57.4,-75.4,-68.3,-67.5,-56.6
12,4,1,-58.0,-45.0,-52.6,-55.1,-70.8,-71.6,-70.4,-63.4
12,4,1,-57.2,-46.8,-49.5,-54.4,-69.0,-71.7,-69.9,-63.6
12,4,1,-57.1,-45.0,-47.9,-56.6,-69.0,-68.8,-66.5,-62.3
12,4,1,-55.5,-48.0,-47.7,-54.9,-68.2,-75.7,-66.3,-59.8
12,4,1,,-50.1,-46.2,-59.9,-65.5,-73.0,-70.4,
12,4,1,-58.4,-44.3,-50.0,-57.4,-68.5,-74.7,-65.8,-59.0
12,4,1,-58.3,-49.1,-44.5,,-65.8,,-67.3,-57.5
12,4,1,-57.8,-48.2,-48.3,-53.8,-69.3,-70.7,-66.1,-63.2
12,4,1,-56.6,-45.4,-51.0,-59.7,-67.1,-72.5,-64.1,-63.8
12,4,1,-58.1,-49.2,-46.6,-56.3,-65.1,-70.6,-67.5,-63.0
14,4,1,-55.1,-51.4,-41.1,-61.4,-66.1,-71.7,-67.1,-55.5
14,4,1,-60.1,-46.7,-44.3,-56.2,-71.6,-72.1,-64.3,-56.5
14,4,1,-59.2,-48.4,-42.5,-56.5,-65.3,-74.2,-68.0,-61.0
14,4,1,-58.0,-49.8,-41.7,-54.4,-64.7,-71.3,-66.4,-59.0
14,4,1,-58.1,-49.3,-42.3,-54.6,-68.0,-74.8,-69.6,-59.2
14,4,1,-58.8,-46.2,-38.0,-62.3,-68.2,-71.8,-69.8,-57.6
14,4,1,-58.2,-52.5,-43.9,-58.1,-68.0,-73.0,-68.7,-58.9
14,4,1,-59.9,-47.7,-44.5,-60.6,-68.2,-74.4,-68.0,-59.4
14,4,1,-57.1,-48.9,-43.7,-55.0,-67.5,-72.3,,-59.3
14,4,1,-54.4,-51.9,-41.3,-56.2,-67.3,-71.3,-69.5,-58.3
14,4,1,-58.9,-45.8,-40.4,-55.6,-68.0,-74.0,-71.8,-61.6
14,4,1,-57.0,-47.6,-46.7,-54.8,-67.0,-73.9,-67.3,-59.0
16,4,1,-58.2,-55.4,-35.8,-58.5,-65.4,-74.4,-70.5,-58.1
16,4,1,-60.2,-55.5,-41.0,-61.3,-69.9,-74.7,-69.9,-56.5
16,4,1,-57.8,-54.7,-36.3,-59.9,-65.9,-74.9,-69.2,-58.6
16,4,1,-60.6,-51.4,-39.6,-57.5,-69.7,-74.2,-69.9,-58.5
16,4,1,-60.6,-53.6,-38.0,-63.6,-66.1,-71.9,-73.1,-58.0
16,4,1,-59.2,-53.8,-33.7,-59.3,-65.3,-73.9,-70.1,-59.5
16,4,1,-57.3,-53.2,-35.7,-59.9,-65.0,-76.7,-72.9,-63.1
16,4,1,-59.9,-52.4,-38.1,-58.6,-69.7,-75.9,-73.6,-61.2
16,4,1,-54.4,-52.9,-30.0,-60.2,-69.5,-72.5,-71.2,-62.7
16,4,1,-60.2,-53.4,-37.3,-56.2,-64.0,-74.9,-68.4,-57.1
16,4,1,-60.4,-54.3,-36.4,-54.7,-65.3,-74.1,-69.9,-59.8
16,4,1,-57.5,-55.1,-31.5,-58.1,-66.8,-78.6,-69.6,-54.7
18,4,1,-63.0,-58.8,-33.6,,-66.6,-72.4,-69.0,-65.7
18,4,1,-60.4,-57.2,-33.7,-60.4,-66.0,-74.2,-73.8,-60.2
18,4,1,-60.5,-52.5,-34.4,-58.4,-69.0,-77.6,-73.7,-58.4
18,4,1,-60.1,-53.7,-36.4,-60.3,-67.6,-73.6,-78.6,-62.8
18,4,1,-57.2,-54.3,-37.8,-62.0,-68.6,-71.0,-73.0,-61.9
18,4,1,-63.3,-51.7,-34.3,-60.9,-63.8,,-68.3,-60.1
18,4,1,-61.4,-54.0,-31.7,-60.6,-66.6,-76.7,-70.7,-61.1
18,4,1,-61.9,-55.2,,-61.7,-69.6,-76.1,-74.2,-63.2
18,4,1,-57.4,-52.1,-35.2,-62.4,-69.2,-75.0,-70.5,-64.1
18,4,1,-62.6,-58.8,-39.2,-56.2,-66.4,-75.3,-69.5,-62.0
18,4,1,-61.7,-52.6,-34.6,-58.7,-64.9,-71.9,-64.9,-64.4
18,4,1,-60.7,-53.7,-37.4,-59.9,-64.1,-73.7,-74.2,-60.5
0,8,1,-53.5,-57.1,-58.8,-46.4,-79.3,-48.8,-67.7,-76.7
0,8,1,-52.8,-56.7,-59.7,-47.4,-74.8,,-70.0,-75.1
0,8,1,-55.6,-58.9,-58.0,-46.5,-74.8,-46.7,-72.0,-74.5
0,8,1,-53.8,-60.0,-59.1,-44.2,-72.4,-51.5,-71.5,-74.8
0,8,1,-49.6,-55.5,-58.7,-47.6,-69.5,-48.7,-73.6,-75.6
0,8,1,-52.8,-56.7,-62.8,-49.9,-73.2,-51.9,-72.0,-74.8
0,8,1,-50.7,-55.3,-60.1,-45.1,-74.3,-49.4,-72.0,-74.7
0,8,1,-51.3,-56.7,-58.8,-43.8,-73.9,-49.9,,-76.7
0,8,1,-52.5,-57.8,-56.0,-46.6,-78.6,-52.8,-70.4,-76.5
0,8,1,-54.4,-55.5,-59.3,-45.5,-76.6,-49.9,-69.9,-75.4
0,8,1,-49.7,-54.6,-58.3,-50.6,-77.5,-50.8,-69.0,-71.1
0,8,1,-54.6,-58.2,-59.5,-45.8,-74.3,-51.9,-68.2,-71.8
2,8,1,-51.3,-54.7,-60.1,-41.6,-74.3,-46.1,-67.8,-70.6
2,8,1,-51.0,-57.4,-59.3,-41.6,-74.6,-54.8,-70.5,-72.8
2,8,1,-53.2,-53.7,-59.6,,-73.2,-49.8,-65.8,-73.3
2,8,1,-56.3,-50.7,-60.0,-46.4,-75.8,-52.3,,-75.6
2,8,1,-53.1,-55.1,-59.2,-43.4,-73.9,-52.5,-70.9,-74.3
2,8,1,-52.4,-50.9,-57.5,-43.9,-71.6,-51.7,-66.6,-73.4
2,8,1,-49.7,-60.1,-62.3,-45.0,-73.8,-54.1,,-73.2
2,8,1,-48.7,-53.6,-59.0,-41.6,-70.1,-50.2,-69.2,-77.5
2,8,1,-53.6,-54.6,-56.1,-44.6,-73.1,-47.1,-66.8,-72.3
2,8,1,-47.7,-51.8,-62.1,-46.0,-77.3,-50.1,-63.7,-76.6
2,8,1,-50.0,-55.8,-55.5,-42.2,-76.4,-50.5,-63.9,-74.4
2,8,1,-50.0,-54.8,-60.5,-44.6,-77.2,-49.9,-66.4,-70.6
4,8,1,-52.5,-52.1,-57.7,-42.5,-74.8,-57.6,-62.3,-69.4
4,8,1,-48.0,-53.6,-57.5,-45.3,-75.6,-56.5,-67.7,-72.2
4,8,1,-54.1,-51.3,-56.8,-43.4,-72.0,-55.8,-64.2,-74.7
4,8,1,-52.7,-58.1,-58.7,-44.4,-74.5,-55.8,-63.4,-72.1
4,8,1,-52.7,-51.8,-62.0,-42.0,-70.7,,-65.1,-75.9
4,8,1,-51.1,-52.9,,-45.4,-72.8,-59.4,-67.2,-76.4
4,8,1,-52.9,-50.5,-54.7,-42.9,-78.8,-57.6,-70.1,-70.7
4,8,1,-54.8,-55.3,-61.0,-44.0,-76.7,-59.5,,-70.8
4,8,1,-51.1,,-53.2,,-74.5,,-66.2,-71.0
4,8,1,-50.4,-50.4,-58.1,-41.2,-69.5,-60.6,-64.8,-76.6
4,8,1,-51.5,-51.8,-58.3,,-70.3,-57.7,-65.0,-69.2
4,8,1,-50.8,-51.4,-55.5,-50.9,-74.9,-54.8,-64.5,-73.5
6,8,1,-51.3,-55.7,-56.1,-48.1,-71.4,-63.8,-67.6,-72.1
6,8,1,-54.2,-50.5,-53.8,-47.5,-69.9,-58.9,-59.1,-69.3
6,8,1,-53.7,,-52.6,-45.4,-72.0,-62.6,-65.2,-74.8
6,8,1,-50.6,-51.1,-55.2,-45.3,-71.1,-67.2,-62.2,-73.2
6,8,1,-55.8,-52.1,-55.8,-45.1,-72.0,-59.2,-60.3,-70.8
6,8,1,-53.6,-52.2,-56.1,-46.0,-71.1,-59.8,-63.5,-69.6
6,8,1,-55.0,-53.5,-57.1,-46.6,-70.3,-64.3,-65.2,-73.1
6,8,1,-54.0,-53.9,-51.7,-44.2,-70.6,-63.8,-66.3,-73.2
6,8,1,-54.6,-56.2,-54.6,-45.6,-68.4,-61.2,-63.1,-71.6
6,8,1,-53.5,-54.6,-57.8,-44.5,-70.6,-62.1,-57.1,-64.7
6,8,1,-56.2,-46.1,-56.1,-48.8,-72.7,-63.9,-61.6,-65.7
6,8,1,-54.4,-58.5,-54.4,-46.5,-71.0,-63.6,-61.9,-68.6
8,8,1,-54.6,-51.0,-56.4,-47.5,-67.6,-65.3,-59.1,-73.7
8,8,1,-56.0,-54.2,-55.6,-46.2,-65.9,-65.2,-62.3,-67.7
8,8,1,,-54.0,-55.9,-48.3,-67.9,-64.4,-58.8,-72.1
8,8,1,-56.5,-51.6,-53.9,-48.9,-70.2,-66.0,-57.7,-69.0
8,8,1,-55.7,-52.7,-54.5,-48.8,-68.6,-67.0,-59.6,
8,8,1,-57.1,-45.4,-55.6,-49.2,-68.8,-64.5,-57.9,-69.4
8,8,1,,-54.5,,-48.1,-70.9,-66.9,-62.0,-69.5
8,8,1,-52.0,-51.2,-53.6,-48.0,,-65.5,-59.1,-65.6
8,8,1,-50.5,-51.0,-58.9,-45.5,-67.7,-68.6,,-68.6
8,8,1,-56.8,-51.9,-55.6,-47.9,-66.9,-66.9,-55.2,
8,8,1,-56.6,-52.1,-55.0,-50.4,-71.8,-68.5,-55.1,-65.1
8,8,1,-56.3,-51.9,-53.1,-53.8,-70.6,-66.7,-55.4,-65.9
10,8,1,-61.3,-53.4,-49.7,-54.7,-69.2,-67.8,-54.5,-71.7
10,8,1,-55.2,-50.7,-52.6,-49.4,-68.1,-70.9,-61.5,-68.5
10,8,1,-54.8,-53.6,,-51.5,-70.4,-67.1,-53.9,-66.5
10,8,1,-58.3,-51.4,-52.8,-51.9,-68.4,-66.2,-62.9,-69.2
10,8,1,-60.2,-50.3,-54.5,-52.5,-70.4,-69.3,-60.0,-67.4
10,8,1,-59.0,-50.1,-49.7,-49.1,-64.4,-66.5,-57.0,-66.8
10,8,1,-59.2,-53.4,-52.3,-48.9,-67.5,-70.1,-60.2,-66.5
10,8,1,-61.7,-51.9,-51.7,-57.1,-64.7,-65.4,-60.2,-67.6
10,8,1,-57.1,-52.3,-53.5,-53.4,-67.5,-69.1,-60.6,-69.8
